article_id,category_id,created_at_ts,words_count
0,0,1513144419000,168
1,1,1405341936000,189
2,1,1408667706000,250
3,1,1408468313000,230
4,1,1407071171000,162
5,1,1407413929000,196
6,1,1409896802000,203
7,1,1412559620000,154
8,1,1414351550000,209
9,1,1412526792000,181
10,1,1412517036000,221
11,1,1412557141000,195
12,1,1412558276000,188
13,1,1412560598000,224
14,1,1412546405000,205
15,1,1412445832000,160
16,1,1414418564000,196
17,1,1414336074000,183
18,1,1414361017000,154
19,1,1477602915000,256
20,1,1475848477000,226
21,1,1475452367000,394
22,1,1475450244000,387
23,1,1475452376000,339
24,1,1475443950000,174
25,1,1475442203000,170
26,1,1475449619000,409
27,1,1478811408000,151
28,1,1471976442000,169
29,1,1405164375000,48
30,1,1408359430000,48
31,1,1418493805000,51
32,1,1424231781000,48
33,1,1423743072000,68
34,1,1437910575000,204
35,1,1443272076000,225
36,1,1483243750000,86
37,1,1487984363000,36
38,1,1501174042000,170
39,1,1514210186000,207
40,1,1363197043000,151
41,1,1367147115000,199
42,1,1367078306000,195
43,1,1366902489000,163
44,1,1366622705000,184
45,1,1366555193000,201
46,1,1366970968000,246
47,1,1367153075000,218
48,1,1366734592000,153
49,1,1366973840000,192
50,1,1366712159000,166
51,1,1369570000000,265
52,1,1367782331000,153
53,1,1369160762000,125
54,1,1368369028000,203
55,1,1368004714000,174
56,1,1369068094000,156
57,1,1369072414000,148
58,1,1369823834000,171
59,1,1368207383000,219
60,1,1369044817000,99
61,1,1370001960000,134
62,1,1368868043000,180
63,1,1368092665000,129
64,1,1368695992000,190
65,1,1367941400000,205
66,1,1368373973000,152
67,1,1368176947000,292
68,1,1368959813000,220
69,1,1368528105000,290
70,1,1369129278000,173
71,1,1368823955000,343
72,1,1370778257000,222
73,1,1370365399000,210
74,1,1372601570000,163
75,1,1372097767000,266
76,1,1372186610000,236
77,1,1370947325000,207
78,1,1371634012000,198
79,1,1372259477000,300
80,1,1371814267000,180
81,1,1371658109000,202
82,1,1370087203000,243
83,1,1371499180000,268
84,1,1371821736000,158
85,1,1370175550000,171
86,1,1371991037000,217
87,1,1371379554000,175
88,1,1371573789000,196
89,1,1371056541000,185
90,1,1373373444000,168
91,1,1373881145000,173
92,1,1373727769000,190
93,1,1373801446000,186
94,1,1373808015000,204
95,1,1374923188000,170
96,1,1375122228000,375
97,1,1374857688000,173
98,1,1372802302000,162
99,1,1372677143000,186
100,1,1372886962000,267
101,1,1374169123000,148
102,1,1372929919000,210
103,1,1372756173000,252
